Connected to ESP32-CAM at http://192.168.128.66:81/stream. Press 'q' to quit.
Capture: 2.02 ms | MediaPipe: 43.28 ms | Show: 0.00 ms
Capture: 7.22 ms | MediaPipe: 43.28 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 40.40 ms | Show: 0.00 ms
Capture: 5.22 ms | MediaPipe: 50.11 ms | Show: 0.00 ms
Capture: 3.35 ms | MediaPipe: 45.98 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 37.63 ms | Show: 0.00 ms
Capture: 4.05 ms | MediaPipe: 36.90 ms | Show: 0.00 ms
Capture: 1.91 ms | MediaPipe: 51.11 ms | Show: 0.00 ms
Capture: 2.24 ms | MediaPipe: 69.08 ms | Show: 4.52 ms
Capture: 2.01 ms | MediaPipe: 43.44 ms | Show: 0.00 ms

FPS: 17 | Hand FPS: 0 | No-Hand FPS: 17

Capture: 2.00 ms | MediaPipe: 35.17 ms | Show: 0.00 ms
Capture: 1.99 ms | MediaPipe: 33.33 ms | Show: 1.00 ms
Capture: 2.08 ms | MediaPipe: 39.16 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 41.87 ms | Show: 1.00 ms
Capture: 5.05 ms | MediaPipe: 37.93 ms | Show: 0.00 ms
Capture: 3.25 ms | MediaPipe: 31.16 ms | Show: 0.00 ms
Capture: 1.99 ms | MediaPipe: 51.44 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 69.78 ms | Show: 0.00 ms
Capture: 3.23 ms | MediaPipe: 49.92 ms | Show: 0.00 ms
Capture: 3.00 ms | MediaPipe: 36.68 ms | Show: 0.00 ms
Capture: 1.98 ms | MediaPipe: 43.10 ms | Show: 0.00 ms
Capture: 3.05 ms | MediaPipe: 47.69 ms | Show: 1.00 ms
Capture: 2.01 ms | MediaPipe: 58.80 ms | Show: 0.00 ms
Capture: 2.78 ms | MediaPipe: 30.14 ms | Show: 0.00 ms
Capture: 3.02 ms | MediaPipe: 36.16 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 54.55 ms | Show: 0.00 ms
Capture: 1.66 ms | MediaPipe: 40.23 ms | Show: 0.00 ms
Capture: 2.01 ms | MediaPipe: 40.36 ms | Show: 0.00 ms

FPS: 18 | Hand FPS: 0 | No-Hand FPS: 18

Capture: 3.00 ms | MediaPipe: 54.35 ms | Show: 0.00 ms
Capture: 2.01 ms | MediaPipe: 70.36 ms | Show: 0.00 ms
Capture: 2.01 ms | MediaPipe: 83.97 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 46.41 ms | Show: 0.00 ms
Capture: 2.99 ms | MediaPipe: 77.08 ms | Show: 0.00 ms
Capture: 4.01 ms | MediaPipe: 68.88 ms | Show: 0.00 ms
Capture: 1.99 ms | MediaPipe: 68.61 ms | Show: 0.00 ms
Capture: 6.61 ms | MediaPipe: 87.20 ms | Show: 0.00 ms
Capture: 3.18 ms | MediaPipe: 97.02 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 55.54 ms | Show: 0.00 ms
Capture: 6.96 ms | MediaPipe: 84.32 ms | Show: 0.00 ms
Capture: 5.36 ms | MediaPipe: 55.48 ms | Show: 0.00 ms

FPS: 12 | Hand FPS: 0 | No-Hand FPS: 12

Capture: 2.98 ms | MediaPipe: 36.26 ms | Show: 0.00 ms
Capture: 2.03 ms | MediaPipe: 38.53 ms | Show: 0.00 ms
Capture: 2.42 ms | MediaPipe: 48.39 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 48.60 ms | Show: 0.00 ms
Capture: 2.01 ms | MediaPipe: 38.46 ms | Show: 0.00 ms
