Connected to ESP32-CAM at http://192.168.128.66:81/stream. Press 'q' to quit.
Capture: 1.00 ms | MediaPipe: 83.74 ms | Show: 0.00 ms
Capture: 0.44 ms | MediaPipe: 81.95 ms | Show: 0.00 ms
Capture: 0.47 ms | MediaPipe: 77.25 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 69.09 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 62.39 ms | Show: 0.00 ms
Capture: 1.02 ms | MediaPipe: 63.63 ms | Show: 0.00 ms
Capture: 1.20 ms | MediaPipe: 62.39 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 65.64 ms | Show: 1.06 ms
Capture: 0.00 ms | MediaPipe: 57.16 ms | Show: 1.00 ms
Capture: 0.00 ms | MediaPipe: 60.45 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 62.44 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 58.17 ms | Show: 0.00 ms
Capture: 2.03 ms | MediaPipe: 65.48 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 73.02 ms | Show: 0.00 ms
Capture: 1.01 ms | MediaPipe: 67.69 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 56.47 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 54.84 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 63.88 ms | Show: 0.00 ms
Capture: 1.01 ms | MediaPipe: 60.58 ms | Show: 1.01 ms
Capture: 0.00 ms | MediaPipe: 62.16 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 77.70 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 50.53 ms | Show: 0.00 ms
Capture: 0.98 ms | MediaPipe: 57.76 ms | Show: 0.00 ms
Capture: 0.95 ms | MediaPipe: 71.29 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 58.30 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 57.65 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 75.57 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 70.65 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 99.58 ms | Show: 0.03 ms
Capture: 0.39 ms | MediaPipe: 100.24 ms | Show: 1.07 ms
Capture: 1.00 ms | MediaPipe: 95.35 ms | Show: 1.99 ms
Capture: 1.01 ms | MediaPipe: 96.25 ms | Show: 0.00 ms
Capture: 0.08 ms | MediaPipe: 84.85 ms | Show: 0.00 ms
Capture: 0.97 ms | MediaPipe: 88.95 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 56.12 ms | Show: 2.30 ms
Capture: 0.00 ms | MediaPipe: 60.35 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 53.17 ms | Show: 0.00 ms
Capture: 1.68 ms | MediaPipe: 69.62 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 58.12 ms | Show: 0.00 ms
Capture: 0.46 ms | MediaPipe: 59.50 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 67.59 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 64.71 ms | Show: 0.00 ms
Capture: 0.53 ms | MediaPipe: 55.06 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 67.59 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 69.44 ms | Show: 0.00 ms
Capture: 0.17 ms | MediaPipe: 54.49 ms | Show: 1.00 ms
Capture: 0.00 ms | MediaPipe: 58.61 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 75.24 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 69.55 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 60.67 ms | Show: 0.00 ms
Capture: 1.01 ms | MediaPipe: 59.57 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 56.87 ms | Show: 0.00 ms
Capture: 2.01 ms | MediaPipe: 54.94 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 61.35 ms | Show: 1.00 ms
Capture: 0.98 ms | MediaPipe: 59.83 ms | Show: 1.00 ms
Capture: 2.01 ms | MediaPipe: 59.05 ms | Show: 1.00 ms
Capture: 0.41 ms | MediaPipe: 70.94 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 67.06 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 56.84 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 57.14 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 63.10 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 56.69 ms | Show: 0.00 ms
Capture: 1.01 ms | MediaPipe: 57.19 ms | Show: 0.00 ms
Capture: 2.67 ms | MediaPipe: 84.72 ms | Show: 0.00 ms
